datetime,wifi,time_sync,rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
2026-05-09 15:29:47,1,1,1,622.1,56,6.6,71,618,1,1.0,0.72,14088,1,1.0,0.72,14088
2026-05-09 15:29:47,1,1,1,622.1,56,6.6,71,618,1,1.0,0.72,14088,1,1.0,0.72,14088
2026-05-09 15:29:47,1,1,1,634.9,72,6.3,70,631,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,634.9,72,6.3,70,631,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,648.4,88,5.8,66,645,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,648.4,88,5.8,66,645,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,664.1,96,5.5,64,661,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,683.8,88,5.2,62,681,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,683.8,88,5.2,62,681,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,704.7,79,5.0,62,702,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,704.7,79,5.0,62,702,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:47,1,1,1,770.6,88,4.7,63,768,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:48,1,1,1,770.6,88,4.7,63,768,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:48,1,1,1,833.2,72,4.2,61,831,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:48,1,1,1,897.1,88,3.9,61,895,1,1.07,0.72,14088,1,1.07,0.72,14088
2026-05-09 15:29:49,1,1,1,1976.1,24,-1.9,-67,1975,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2038.2,0,-2.0,-70,2037,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2038.2,0,-2.0,-70,2037,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2078.2,-8,-2.0,-72,2077,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2078.2,-8,-2.0,-72,2077,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2099.6,-32,-2.2,-81,2098,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2115.2,-48,-1.9,-70,2114,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2115.2,-48,-1.9,-70,2114,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2117.2,-56,-1.9,-70,2116,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2117.2,-56,-1.9,-70,2116,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2113.3,-79,-2.0,-74,2112,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2113.3,-79,-2.0,-74,2112,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:49,1,1,1,2102.5,-96,-2.2,-80,2101,1,2.29,0.27,12306,1,2.29,0.27,12306
2026-05-09 15:29:52,1,1,1,530.6,56,4.4,41,529,1,0.57,0.55,36722,1,0.57,0.55,36722
2026-05-09 15:29:52,1,1,1,530.6,56,4.4,41,529,1,0.57,0.55,36722,1,0.57,0.55,36722
2026-05-09 15:29:52,1,1,1,529.3,64,4.0,37,528,1,0.69,0.65,5597,1,0.69,0.65,5597
2026-05-09 15:29:52,1,1,1,529.3,64,4.0,37,528,1,0.69,0.65,5597,1,0.69,0.65,5597
2026-05-09 15:29:52,1,1,1,545.4,72,2.3,22,545,1,0.76,0.68,3585,1,0.76,0.68,3585
2026-05-09 15:29:52,1,1,1,550.3,79,1.9,18,550,1,0.76,0.68,3585,1,0.76,0.68,3585
2026-05-09 15:29:52,1,1,1,550.3,79,1.9,18,550,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,558.2,72,1.4,14,558,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,558.2,72,1.4,14,558,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,570.1,72,1.0,10,570,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,570.1,72,1.0,10,570,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,584.1,64,0.9,9,584,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,599.0,79,0.7,7,599,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,599.0,79,0.7,7,599,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,645.1,72,1.1,12,645,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,645.1,72,1.1,12,645,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,687.8,88,2.8,33,687,1,0.83,0.68,3585,1,0.83,0.68,3585
2026-05-09 15:29:52,1,1,1,687.8,88,2.8,33,687,1,0.83,0.68,3585,1,0.83,0.68,3585
