rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
1,635.66,0,1.31,14,716,1,0.76,0.01,1660,1,0.79,0.01,1606
1,601.55,0,1.24,14,680,1,0.88,0.01,1295,1,0.86,0.01,1528
1,678.22,0,1.7,18,688,1,0.77,0.01,33545,1,0.67,0.01,39474
1,760.9,0,1.92,20,642,1,0.86,0.01,37883,1,0.85,0.01,38410
1,718.24,0,2.28,23,777,1,0.83,0.01,21456,1,0.88,0.01,22642
1,788.86,0,2.44,27,703,1,0.86,0.01,18187,1,0.86,0.01,21727
1,785.03,0,2.23,26,610,1,0.74,0.01,52468,1,0.83,0.01,42976
1,708.83,0,2.2,23,609,1,0.84,0.01,45128,1,0.77,0.01,46645
1,631.48,0,2.41,27,782,1,0.7,0.01,48356,1,0.81,0.01,46746
1,646.82,6,1.97,23,724,1,0.89,0.01,47094,1,0.87,0.01,43143
1,612.86,8,2.45,25,702,1,0.79,0.01,26205,1,0.79,0.01,25796
1,645.25,0,1.98,25,733,1,0.74,0.01,33132,1,0.73,0.01,32251
1,695.34,0,2.06,25,608,1,0.88,0.01,45976,1,0.79,0.01,37202
1,788.12,0,2.39,24,695,1,0.77,0.01,46305,1,0.73,0.01,41010
1,674.29,-16,1.93,22,626,1,0.85,0.01,43002,1,0.73,0.01,36922
1,672.12,-15,2.13,22,767,1,0.7,0.01,38795,1,0.69,0.01,35496
1,643.64,-22,1.65,18,664,1,0.81,0.01,37445,1,0.71,0.01,43581
1,767.57,-26,1.51,19,588,1,0.84,0.01,36039,1,0.86,0.01,35922
1,771.16,-31,1.49,17,683,1,0.77,0.01,38786,1,0.75,0.01,42979
1,746.82,-29,1.52,15,757,1,0.84,0.01,38772,1,0.78,0.01,37675
1,760.37,0,1.34,15,688,1,0.74,0.01,43109,1,0.73,0.01,38239
1,692.6,26,1.23,12,655,1,0.81,0.01,38037,1,0.74,0.01,41523
1,717.77,20,1.24,14,593,1,0.79,0.01,38428,1,0.76,0.01,39270
1,595.42,33,0.98,12,705,1,0.75,0.01,42985,1,0.9,0.01,35837
1,626.73,39,1.04,14,606,1,0.68,0.01,45394,1,0.82,0.01,39490
1,580.78,51,0.82,10,570,1,0.71,0.01,40281,1,0.83,0.01,41742
1,722.41,54,0.82,10,695,1,0.81,0.01,46879,1,0.74,0.01,47037
1,573.38,83,0.66,8,708,1,0.74,0.7,64404,1,0.79,0.62,56977
1,586.17,99,0.65,8,713,1,0.72,0.64,61630,1,0.8,0.8,74046
1,626.55,94,0.67,6,702,1,0.92,0.68,58769,1,0.79,0.72,61406
1,758.11,76,0.67,6,718,1,0.71,0.79,59032,1,0.7,0.8,63053
1,605.15,95,0.41,4,755,1,1.05,0.94,7930,1,0.97,0.74,6752
1,712.76,80,0.42,4,663,1,1.09,0.94,7648,1,1.06,0.96,7624
1,770.27,87,0.31,3,693,1,0.89,0.83,7009,1,1.06,0.74,8200
1,625.22,51,0.0,0,779,1,0.94,0.88,6958,1,0.91,0.75,8343
1,590.07,54,0.0,0,690,1,1.18,0.87,7684,1,1.03,0.86,8029
1,779.05,38,-0.23,-2,699,1,0.94,0.79,6227,1,1.03,0.86,7173
1,692.81,35,-0.21,-1,711,1,0.9,0.89,6744,1,1.05,0.73,8181
1,768.94,35,-0.64,-7,702,1,1.2,0.81,7328,1,1.15,0.95,7909
1,762.42,32,-0.78,-9,745,1,1.41,0.23,15973,1,1.12,0.26,16466
1,802.44,14,-0.61,-10,804,1,1.14,0.24,17163,1,1.21,0.22,18106
1,766.94,16,-0.7,-8,808,1,1.36,0.13,51713,1,1.3,0.12,47956
1,733.84,8,-0.46,-7,787,1,1.29,0.12,43170,1,1.22,0.15,45503
1,937.61,14,-0.52,-8,779,1,1.42,0.15,40775,1,1.38,0.15,46701
1,740.79,15,-0.45,-9,921,1,1.17,0.18,41384,1,1.44,0.17,50452
1,897.22,8,-0.79,-8,893,1,1.23,0.11,29462,1,1.22,0.13,30145
1,855.04,7,-0.65,-11,773,1,1.21,0.11,33849,1,1.37,0.12,28469
1,928.87,14,-0.61,-8,810,1,1.38,0.1,37496,1,1.38,0.09,38622
1,972.25,16,-0.62,-9,875,1,1.1,0.09,36639,1,1.07,0.11,36880
1,884.32,8,-0.85,-12,952,1,1.17,0.1,6003,1,1.22,0.09,5929
1,972.84,15,-1.19,-16,887,1,1.13,0.1,5249,1,1.09,0.09,5771
1,1016.22,16,-1.13,-18,919,1,1.35,0.07,139,1,1.17,0.07,173
1,884.62,0,-2.11,-32,980,1,1.36,0.07,171,1,1.27,0.07,175
1,882.66,0,-2.16,-30,1069,1,1.1,0.07,8441,1,1.2,0.05,7645
1,915.08,8,-2.41,-46,1037,1,1.2,0.06,8242,1,1.27,0.06,9718
1,847.72,8,-2.45,-44,1053,1,1.24,0.06,8643,1,1.27,0.07,10036
1,1023.81,0,-3.06,-51,1083,1,1.37,0.06,9648,1,1.18,0.07,7972
1,1049.76,0,-2.93,-48,960,1,1.2,0.04,18693,1,1.17,0.03,20156
1,981.57,0,-3.39,-48,903,1,1.4,0.04,23140,1,1.32,0.04,24632
1,884.21,0,-5.82,-80,1051,1,1.22,0.03,31570,1,1.19,0.03,40715
1,1080.05,0,-5.5,-100,868,1,1.37,0.03,34195,1,1.16,0.03,40422
1,931.79,0,-7.31,-115,898,1,1.28,0.02,8642,1,1.35,0.02,7987
1,904.77,0,-7.57,-132,1005,1,1.33,0.02,9244,1,1.39,0.02,8491
1,986.84,0,-7.33,-120,912,1,1.42,0.02,3600,1,1.18,0.02,4417
1,979.18,0,-6.02,-134,1167,1,1.35,0.02,3570,1,1.4,0.02,4409
1,1153.23,0,-7.91,-111,1103,1,1.29,0.02,3625,1,1.35,0.02,4574
1,956.19,0,-7.16,-140,917,1,1.2,0.02,4553,1,1.23,0.02,4574
1,1131.74,0,-6.66,-138,1164,1,1.29,0.02,370,1,1.12,0.02,417
1,955.88,0,-7.81,-160,1174,1,1.29,0.02,372,1,1.17,0.02,379
1,1095.45,0,-7.43,-131,950,1,1.32,0.01,185,1,1.29,0.01,169
1,1094.18,0,-7.84,-174,1134,1,1.11,0.01,164,1,1.12,0.01,185
