rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
1,1154.69,-39,-7.57,-133,1189,1,1.34,-0.11,35734,1,1.29,-0.11,31465
1,1069.6,-43,-8.46,-141,1273,1,1.11,-0.11,33757,1,1.22,-0.1,36052
1,1045.29,-63,-6.89,-146,1141,1,1.29,-0.14,39832,1,1.37,-0.13,41338
1,1108.79,-72,-7.8,-137,1003,1,1.11,-0.11,38197,1,1.15,-0.11,35649
1,1168.8,-96,-7.27,-147,1266,1,1.1,-0.35,45991,1,1.05,-0.36,51201
1,1146.02,-100,-7.16,-128,989,1,1.19,-0.32,51242,1,1.26,-0.31,43269
1,960.41,-90,-7.77,-124,1096,1,1.06,-0.51,50948,1,0.95,-0.47,58370
1,1250.75,-86,-6.0,-138,1151,1,0.96,-0.52,47056,1,1.03,-0.56,49286
1,1047.68,-80,-6.71,-115,1065,1,0.83,-0.65,21681,1,1.05,-0.61,18775
1,989.21,-52,-6.8,-122,986,1,0.82,-0.54,21365,1,0.79,-0.53,17884
1,991.94,-56,-5.59,-108,1151,1,0.78,-0.59,15773,1,0.8,-0.64,15447
1,1070.75,-44,-5.93,-93,1061,1,0.81,-0.56,16983,1,0.83,-0.63,16501
1,980.17,-40,-6.34,-102,1024,1,0.83,-0.53,15791,1,0.83,-0.49,18508
1,1088.77,-14,-5.33,-97,1019,1,0.87,-0.58,19508,1,0.82,-0.6,17414
1,1020.53,-14,-5.32,-115,993,1,0.77,-0.54,17451,1,0.84,-0.63,19882
1,1125.58,-8,-5.96,-102,965,1,0.86,-0.56,17417,1,0.93,-0.63,20574
1,913.83,-8,-5.61,-94,1098,1,0.93,-0.6,17426,1,0.76,-0.54,17866
1,972.51,-8,-6.0,-104,950,1,0.77,-0.49,19049,1,0.78,-0.5,19086
1,1048.68,0,-5.76,-90,955,1,0.81,-0.53,17384,1,0.82,-0.51,18843
